FH ID,Hotel Name,City,Address,Zipcode,Latitude,Longitude,Link,B.com ID
53340,OYO Flagship Krishna Executive,Pune,"S NO 63/2B/3B/13, SOLAPUR ROAD, OPP RAJYOG KARYALAYA, MANJRI BK, Pune - 412307",412307,18.49631,73.97282,https://www.booking.com/hotel/in/oyo-flagship-81388-krishna-executive.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIkb3lvLWZsYWdzaGlwLTgxMzg4LWtyaXNobmEtZXhlY3V0aXZlSDNYA2hsiAEBmAEJuAEXyAEM2AED6AEBiAIBqAIDuAKb9OCnBsACAdICJDVlMTc0ZGRlLWY3ZGEtNDkwZi1iODlkLTZlNWMyYTkxY2NmNtgCBOACAQ&sid=0a8eb7e3eaeb8d09f1980e4bbf75cbe5&dist=0&keep_landing=1&sb_price_type=total&type=total&,10235572
48167,Capital O Hotel Deluxe,Pune,"218/2/1 main road Rajiv Gandhi infotech park Hinjewadi, Pune - 411057",411057,18.583428,73.729786,https://www.booking.com/hotel/in/capital-o-89034-deluxe.en-gb.html,8570698
51817,Hotel Geeta Palace,Mumbai,"Plot No D-173, Next to Itm college, Near Yashobhoomi Press, MIDC Road, Nerul, Navi Mumbai, Mumbai - 400706",400706,19.046688,73.032276,https://www.booking.com/hotel/in/capital-o-86316-geeta-palace.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIcY2FwaXRhbC1vLTg2MzE2LWdlZXRhLXBhbGFjZUgzWANobIgBAZgBCbgBF8gBDNgBA-gBAYgCAagCA7gClra6pQbAAgHSAiQ3MzczNmEyZS04MzllLTRkMjItOWM5YS05ZDk4ZGVmZjM3MjXYAgTgAgE&sid=461933777f0a6128b95414f72e819607&dist=0&keep_landing=1&sb_price_type=total&type=total&,8171636
802969,Hotel Simran Raghuveer Para,Rajkot,"Raghuveer Para, Lohana Para, Rajkot - 360001",360001,22.29642703,70.8036465,https://www.booking.com/hotel/in/collection-o-50252-simran-raghuveer-para.en-gb.html?aid=318615&label=English_India_EN_IN_28546570345-eYW540EsJbOacWZK6kIFyAS634117832355%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-209717190505%3Alp1007765%3Ali%3Adec%3Adm%3Aag28546570345%3Acmp339861625&sid=40b6a28c9dd78a00d9ccb7e9dd194fd7&dest_id=-2108747;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;srepoch=1716527798;srpvid=f95725181d270059;type=total;ucfs=1&#hotelTmpl,5838960
813834,Collection O sunshine Residency Near PVR SPI Palazzo Chennai,Chennai,"24, Arunachalam Road, Saligramam, Chennai - 600093",600093,13.0499456,80.20387588,https://www.booking.com/hotel/in/sunshine-residency-chennai.html,3198365
817733,OYO METRO INN,Hyderabad,"H No: 9-3-120/A, 121,122,122/2,122/3, Regimental Bazaar, Shivaji Nagar, Secunderabad, Hyderabad - 500003",500003,17.4353946,78.5046217,https://www.booking.com/hotel/in/oyo-metro-inn-hyderabad.html,12033163
817737,Townhouse De Alphabet Hotel Kukatpally Nexus Mall,Hyderabad,"Plot No 82/HIG, PH-IX KPHB Colony, Om Sai Sandhya Motor Driving School, Kukatpally, Medchal Malkajgiri, Hyderabad - 500072",500072,17.4850829,78.3880167,https://www.booking.com/hotel/in/collection-o-de-alphabet-kukatpally-nexus-mall.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIuY29sbGVjdGlvbi1vLWRlLWFscGhhYmV0LWt1a2F0cGFsbHktbmV4dXMtbWFsbEgzWANobIgBAZgBCbgBF8gBDNgBA-gBAYgCAagCA7gCvYHvsQbAAgHSAiQ5NjEwNjczZC01N2E3LTQ4NDctOTE3OS00ZjVmYTRkNjg0M2TYAgTgAgE&sid=2f3d78570815637a6b8051a855f27298&dist=0&keep_landing=1&sb_price_type=total&type=total&,10554366
817235,Moon Bliss Beach Resort,Goa,"Survey No: 216/0, Ashvem, Mandrem, Pernem, Goa - 403519",403519,15.649118,73.717589,https://www.booking.com/hotel/in/moon-bliss-beach-resort.en-gb.html?aid=318615&label=English_India_EN_IN_28546570345-eYW540EsJbOacWZK6kIFyASM634117832355%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atidsa-209717190505%3Alp9146044%3Ali%3Adem%3Adm%3Aag28546570345%3Acmp339861625-UA56lF%401714905638&sid=eadcb6226c2a10a8f5bc622e2fb2bd00&all_sr_blocks=1186141801_390981535_2_0_0&checkin=2024-05-23&checkout=2024-05-24&dest_id=-2096381&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1186141801_390981535_2_0_0&hpos=1&matching_block_id=1186141801_390981535_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1186141801_390981535_2_0_0__120000&srepoch=1716383029&srpvid=67c05bd85e4d028b&type=total&ucfs=1&activeTab=main,11861418
818382,FabHotel Shree Shivay,Ujjain,"Pawapuri Colony, Ujjain - 456664",456664,23.1729693,75.7783112,https://www.booking.com/hotel/in/shree-shivay-ujjain.html,9793304
818388,Hotel Elegant,Jaipur,"Tagore Lane, Gram Barh Deori, Mansarovar, Jaipur - 302020",302020,26.85944,75.76817,https://www.booking.com/hotel/in/elegant-jaipur.en-gb.html?label=gen173nr-1BCAsobEIOZWxlZ2FudC1qYWlwdXJIM1gEaGyIAQGYAQm4ARjIAQzYAQHoAQGIAgGoAgS4AuWDxKUGwAIB0gIkZjkzZDliY2ItZTU4OC00ZGViLWI5MjktZTdkMDQ3MzRlZjVj2AIF4AIB&sid=af6c6d1a525b3da076614cb818443dbc&dist=0&keep_landing=1&sb_price_type=total&type=total&activeTab=photosGallery,8848439
